Company;2Q20 Shipment Volumes;2Q20 Market Share;2Q19 Shipment Volumes;2Q19 Market Share;2Q18 Shipment Volumes;2Q18 Market Share
Samsung;54,2;19,50%;76,2;23,00%;71,5;21,00%
Huawei;55,8;20,00%;58,7;17,70%;54,2;15,90%
Apple;37,6;13,50%;33,8;10,20%;41,3;12,10%
Xiaomi;28,5;10,20%;32,3;9,70%;32,4;9,50%
OPPO;24;8,60%;29,5;8,90%;29,4;8,60%
Others;78,4;28,20%;101;30,50%;112,4;32,90%
Total;278,4;100,00%;331,5;100,00%;341,2;100,00%
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
